# US ZIP (ZCTA) -> county, largest-area match — US Census 2020 ZCTA-county relationship file, public domain.
# zip,county,state_fips
01887,Middlesex County,25
01890,Middlesex County,25
01901,Essex County,25
01902,Essex County,25
01904,Essex County,25
01905,Essex County,25
01906,Essex County,25
01907,Essex County,25
01908,Essex County,25
01913,Essex County,25
01915,Essex County,25
01921,Essex County,25
01922,Essex County,25
01923,Essex County,25
01929,Essex County,25
01930,Essex County,25
01937,Essex County,25
01938,Essex County,25
01940,Essex County,25
01944,Essex County,25
01945,Essex County,25
01949,Essex County,25
01950,Essex County,25
01951,Essex County,25
01952,Essex County,25
01960,Essex County,25
01965,Essex County,25
01966,Essex County,25
01969,Essex County,25
01970,Essex County,25
01982,Essex County,25
01983,Essex County,25
01984,Essex County,25
01985,Essex County,25
02019,Norfolk County,25
02021,Norfolk County,25
02025,Norfolk County,25
02026,Norfolk County,25
02030,Norfolk County,25
02032,Norfolk County,25
02035,Norfolk County,25
02038,Norfolk County,25
02043,Plymouth County,25
02045,Plymouth County,25
02047,Plymouth County,25
02048,Bristol County,25
02050,Plymouth County,25
02052,Norfolk County,25
02053,Norfolk County,25
02054,Norfolk County,25
02056,Norfolk County,25
02061,Plymouth County,25
02062,Norfolk County,25
02066,Plymouth County,25
02067,Norfolk County,25
02071,Norfolk County,25
02072,Norfolk County,25
02081,Norfolk County,25
02090,Norfolk County,25
02093,Norfolk County,25
02108,Suffolk County,25
02109,Suffolk County,25
02110,Suffolk County,25
02111,Suffolk County,25
02113,Suffolk County,25
02114,Suffolk County,25
02115,Suffolk County,25
02116,Suffolk County,25
02118,Suffolk County,25
02119,Suffolk County,25
02120,Suffolk County,25
02121,Suffolk County,25
02122,Suffolk County,25
02124,Suffolk County,25
02125,Suffolk County,25
02126,Suffolk County,25
02127,Suffolk County,25
02128,Suffolk County,25
02129,Suffolk County,25
02130,Suffolk County,25
02131,Suffolk County,25
02132,Suffolk County,25
02133,Suffolk County,25
02134,Suffolk County,25
02135,Suffolk County,25
02136,Suffolk County,25
02138,Middlesex County,25
02139,Middlesex County,25
02140,Middlesex County,25
02141,Middlesex County,25
02142,Middlesex County,25
02143,Middlesex County,25
02144,Middlesex County,25
02145,Middlesex County,25
02148,Middlesex County,25
02149,Middlesex County,25
02150,Suffolk County,25
02151,Suffolk County,25
02152,Suffolk County,25
02155,Middlesex County,25
02163,Suffolk County,25
02169,Norfolk County,25
02170,Norfolk County,25
02171,Norfolk County,25
02176,Middlesex County,25
02180,Middlesex County,25
02184,Norfolk County,25
02186,Norfolk County,25
02188,Norfolk County,25
02189,Norfolk County,25
02190,Norfolk County,25
02191,Norfolk County,25
02199,Suffolk County,25
02203,Suffolk County,25
02205,Suffolk County,25
02210,Suffolk County,25
02215,Suffolk County,25
02301,Plymouth County,25
02302,Plymouth County,25
02322,Norfolk County,25
02324,Plymouth County,25
02325,Plymouth County,25
02330,Plymouth County,25
02332,Plymouth County,25
02333,Plymouth County,25
02338,Plymouth County,25
02339,Plymouth County,25
02341,Plymouth County,25
02343,Norfolk County,25
02346,Plymouth County,25
02347,Plymouth County,25
02350,Plymouth County,25
02351,Plymouth County,25
02356,Bristol County,25
02357,Bristol County,25
02359,Plymouth County,25
02360,Plymouth County,25
02364,Plymouth County,25
02366,Plymouth County,25
02367,Plymouth County,25
02368,Norfolk County,25
02370,Plymouth County,25
02375,Bristol County,25
02379,Plymouth County,25
02382,Plymouth County,25
02420,Middlesex County,25
02421,Middlesex County,25
02445,Norfolk County,25
02446,Norfolk County,25
02451,Middlesex County,25
02452,Middlesex County,25
02453,Middlesex County,25
02457,Norfolk County,25
02458,Middlesex County,25
02459,Middlesex County,25
02460,Middlesex County,25
02461,Middlesex County,25
02462,Middlesex County,25
02464,Middlesex County,25
02465,Middlesex County,25
02466,Middlesex County,25
02467,Norfolk County,25
02468,Middlesex County,25
02472,Middlesex County,25
02474,Middlesex County,25
02476,Middlesex County,25
02478,Middlesex County,25
02481,Norfolk County,25
02482,Norfolk County,25
02492,Norfolk County,25
02493,Middlesex County,25
02494,Norfolk County,25
02532,Barnstable County,25
02534,Barnstable County,25
02535,Dukes County,25
02536,Barnstable County,25
02537,Barnstable County,25
02538,Plymouth County,25
02539,Dukes County,25
02540,Barnstable County,25
02542,Barnstable County,25
02543,Dukes County,25
02553,Barnstable County,25
02554,Nantucket County,25
02556,Barnstable County,25
02557,Dukes County,25
02558,Plymouth County,25
02559,Barnstable County,25
02561,Barnstable County,25
02562,Barnstable County,25
02563,Barnstable County,25
02564,Nantucket County,25
02568,Dukes County,25
02571,Plymouth County,25
02575,Dukes County,25
02576,Plymouth County,25
02584,Nantucket County,25
02601,Barnstable County,25
02630,Barnstable County,25
02631,Barnstable County,25
02632,Barnstable County,25
02633,Barnstable County,25
02635,Barnstable County,25
02637,Barnstable County,25
